"State","Year","From State government1","Taxes","Property","Sales and gross receipts","General sales","Selective sales","Motor fuel","Alcoholic beverage","Tobacco products","Public utilities","Other selective sales","Individual income","Corporate income","Motor vehicle license","Other taxes","Charges and miscellaneous general revenue","Current charges","Education","School lunch sales (gross)","Hospitals","Highways","Air transportation (airports)","Parking facilities","Sea and inland port facilities","Natural resources","Parks and recreation","Housing and community development","Sewerage","Solid waste management","Other charges","Capital outlay","Higher education","Elementary & secondary","Other education","Libraries","Public welfare","Cash assistance payments","Vendor payments","Other public welfare","Health","Veterans' services","Police protection","Debt outstanding","Employment security administration"
"Florida","2014","0","36335598","250","29998178","21480910","8517268","2422718","452370","1322241","2719350","1600589","0","2043750","1380910","2912510","16841589","9400887","2559523","0","765414","1435349","0","0","0","113957","47460","280","0","34","4478870","6541130","6903474","0","2617428","34031","24223670","203914","22312203","1707553","3809364","8093","551019","36353065","335042"
"Georgia","2014","0","18618093","788350","7310132","5125502","2184630","1006494","181875","216640","0","779621","8965572","943806","337456","272777","5776096","3616883","2613730","0","209499","33165","0","0","310599","49732","104592","2054","0","0","293512","2756364","6124991","0","2494048","0","11033669","81911","9974159","977599","961046","8649","286968","13380184","47762"
"Hawaii","2014","0","6052795","0","3847662","2825041","1022621","93598","48305","107685","166179","606854","1745461","126045","168980","164647","2610385","1668657","410225","23492","584435","0","374591","2845","118908","20733","11504","19316","0","0","126100","913351","1133575","2126070","123735","33662","2662006","3435","2177574","480997","549618","0","35423","8426573","6240"
"Idaho","2014","0","3669222","0","1818810","1373666","445144","248454","8780","47816","1840","138254","1338075","190002","135169","187166","1440196","927166","405276","0","58875","6906","1","0","0","75937","8426","17102","0","0","354643","554649","897222","0","195134","4399","2443377","58058","1883681","501638","253268","0","55940","3606305","40159"
"Illinois","2014","0","41656539","54710","17492510","10249411","7243099","1293967","279587","859865","1651211","3158469","16642154","4439832","1623571","1403762","9117564","4804379","2946289","0","693495","1018728","0","0","0","17631","5407","31621","0","0","91208","4357385","6568043","0","1754386","4682","19891362","217046","16452873","3221443","1085805","69777","450130","65831516","47560"
"Indiana","2014","0","17062642","8052","10610831","7003426","3607405","814549","45955","447561","252652","2046688","4896317","866747","208572","472123","5371852","3383270","3275738","0","19","1939","0","0","11627","47364","26104","5756","0","0","14723","2006435","5807885","0","1033353","7920","10649947","64254","9584553","1001140","469308","4131","221511","21132190","96630"
"Iowa","2014","0","8572532","0","4072631","2959924","1112707","452596","14187","225375","0","420549","3197578","388699","548670","364954","6626890","3074542","1380862","0","1463927","29","1670","0","0","103249","4216","12956","0","4368","103265","1673314","2856190","0","468417","4640","5105704","242240","4380356","483108","107244","1334","93853","6343482","45717"
"Kansas","2014","0","7334481","81267","3890900","2983664","907236","441843","126861","97813","353","240366","2511660","330181","212064","308409","4311876","3054331","1027221","0","1603014","101636","0","0","0","32869","995","5115","0","0","283481","944026","2298421","0","264552","3901","3624973","62646","3023938","538389","294133","11343","94544","6742696","31381"
"Kentucky","2014","0","11103545","562370","5354124","3131157","2222967","886161","128534","248979","63898","895395","3749258","674464","190370","572959","4718121","3227101","1443598","0","1382643","63776","768","0","0","51512","60436","13962","0","998","209408","2128542","3716919","653031","940223","8721","8268161","230171","7263985","774005","422590","52132","209390","14829986","129907"
"Louisiana","2014","0","9695281","55363","5115636","2923336","2192300","588860","56967","130045","9158","1407270","2753680","481212","75628","1213762","5272409","3030608","1366493","0","1264726","36343","196","0","73850","58352","88181","3144","0","0","139323","1867724","3071406","5006","854767","5561","8033967","62932","7259520","711515","399764","5884","206678","18996129","140238"
"Maine","2014","0","3847181","35755","1911398","1191685","719713","240901","17923","136160","32432","292297","1414110","182928","102306","200684","1467165","943172","342195","0","95401","134193","143","0","0","18324","1327","8077","0","0","343512","317999","807547","19052","167943","3530","3467581","58586","2271577","1137418","213122","151","74280","5473870","62145"
"Maryland","2014","0","18929069","725694","8022537","4195996","3826541","812739","30808","402403","139346","2441245","7773773","982784","474475","949806","6056618","3641699","1950459","0","198955","667003","216768","0","50634","17908","33870","10357","114973","0","380772","2871113","4762982","15","777999","18299","10931330","1454962","8476333","1000035","1209078","2155","493430","26378595","61178"
"Massachusetts","2014","0","25237003","4710","7933030","5518580","2414450","732207","78817","660029","23736","919661","13246221","2194620","390879","1467543","9851814","5120037","2460611","10282","97","901624","627384","0","85721","20064","51854","4782","431768","0","536132","4015949","4928179","192304","1203428","15378","18055530","1341","16525205","1528984","1213638","80288","1002284","71823536","243642"
"Michigan","2014","0","25100605","1919910","12606196","8715827","3890369","964119","143641","942148","28412","1812049","7874712","881011","979061","839715","11824962","7752191","4555049","0","3001517","31770","708","0","0","42325","5532","6998","0","0","108292","2369609","9358114","31005","1200221","11276","12786475","327843","10492555","1966077","1171953","0","406147","31528074","183659"
"Minnesota","2014","0","23245827","837145","9709772","5398173","4311599","884162","84202","657906","51","2685278","9623831","1325656","694226","1055197","4579337","2645909","1892190","0","144761","13538","1456","0","0","54593","32606","14959","221381","0","270425","1965538","4676531","0","1055914","10","11572033","441382","10292639","838012","341686","10854","302562","15818353","56751"
"Mississippi","2014","0","7575395","25103","4705835","3304632","1401203","410716","42402","146050","4384","797651","1667344","526302","154677","496134","2624025","1983695","853819","0","937021","634","0","0","16772","34965","7636","840","0","0","132008","1212041","2037010","0","462207","4281","5412165","58049","4909738","444378","316775","4642","110297","7218459","72065"
"Alabama","2015","0","9755439","336825","4936049","2463912","2472137","560188","192490","116414","734531","868514","3336587","533586","211144","401248","6364239","4676644","2408594","0","1788255","1184","58","0","289772","6996","35091","22914","0","6229","117551","2011264","4863337","0","2339396","4127","8101073","1446942","6043966","610165","434601","6212","151451","9125828","97330"
"Alaska","2015","0","1363350","127821","255971","0","255971","42003","39836","65823","4200","104109","0","227852","29500","722206","3655731","655667","193149","0","3020","65200","140039","0","5","24876","1542","19752","0","0","208084","1510811","848182","486093","145331","7626","2008427","175812","1551345","281270","186246","0","131028","5727891","40572"
"Arizona","2015","0","13721262","882643","7885555","6105909","1779646","753814","71270","314239","22703","617620","3760883","690960","207819","293402","4637985","2665387","2261155","0","2914","12758","1145","0","0","31924","28382","5292","0","2619","319198","1491099","4204818","0","648694","1417","10001800","297373","7231932","2472495","615369","15863","230479","14243659","0"
"Arkansas","2015","0","9168570","1066789","4410340","3182211","1228129","461731","53256","225097","0","488045","2664153","476553","157628","393107","3182110","2207187","851525","0","1038762","9618","24","0","0","21642","35041","432","0","53","250090","1131361","2561814","0","550378","2922","6572760","11237","5958994","602529","272247","1611","105706","4985140","90342"
"California","2015","0","151234534","2315507","52412359","38464704","13947655","5711160","357373","832379","627030","6419713","77929551","9007182","3860058","5709877","31357559","21373082","8003201","0","8983124","38409","0","10483","0","1042270","107931","1011","0","0","3186653","10183475","26815661","6","5916023","21886","85124820","0","79553316","5571504","1731601","15473","1770951","151715007","413393"
"Colorado","2015","0","12747749","0","4744644","2817773","1926871","667948","41392","202241","0","1015290","6360629","669054","490175","483247","5549799","3664814","2660671","0","711990","95994","0","0","0","46463","3405","248","0","3002","143041","1775347","5193247","0","882957","5398","7089744","67515","6353523","668706","352823","5182","170279","16921492","67647"
"Connecticut","2015","0","16184490","0","6554350","4082787","2471563","481825","61612","357944","283074","1287108","8182071","650014","219903","578152","3844446","2215335","1294943","0","387300","8679","37080","6918","547","32028","21078","16576","0","98265","311921","2120746","3122235","0","782890","10919","3635376","200457","2489755","945164","762037","30750","225130","35195398","19225"
"Delaware","2015","0","3513916","0","498557","0","498557","117401","20708","102695","56644","201109","1140248","400746","54663","1419702","2072887","1154571","778144","0","5485","178661","0","0","40492","1393","10571","9712","0","64724","65389","477892","1282998","0","451636","8272","2279012","40917","1892733","345362","424426","0","139423","4964915","17493"
"District of Columbia","2015","94570","7115081","2251724","1751874","1315925","435949","25256","6244","31492","202057","170900","1868468","448259","37649","757107","1818986","797539","36322","672","140867","0","0","40583","0","0","28608","27900","312768","5144","205347","2488403","178195","2546206","0","71910","3563573","149327","2700696","713550","472754","0","584667","13938989","41818"
"Florida","2015","0","37217759","70","30336315","21800895","8535420","2481760","459019","1192906","2689490","1712245","0","2237500","1381688","3262186","17434515","9041463","2686308","0","815126","1633135","0","0","0","122676","52757","285","452","27","3730697","7011605","7199975","0","2744323","29010","25776510","207070","23827596","1741844","3726857","8745","551687","33368651","323491"
"Georgia","2015","0","19732308","863586","7555865","5256592","2299273","1025819","184374","215055","0","874025","9678524","1000536","351212","282585","5772035","3474998","2403094","0","231067","28357","1696","0","356496","53680","120655","2247","0","0","277706","2453654","5385463","0","1928929","0","11528159","91157","10393576","1043426","1039778","8486","331440","13247675","33939"
"Hawaii","2015","0","6485563","0","4082196","2992707","1089489","93066","50281","129659","163481","653002","1987915","72249","178663","164540","2835953","1718103","429654","22473","629561","0","357018","2568","116877","18212","10901","19906","0","0","133406","1043804","1082242","1973726","123131","32723","2557187","3102","2077299","476786","497394","1024","36790","8757730","6092"
"Idaho","2015","0","3976017","0","1941280","1463802","477478","258993","8937","48408","1918","159222","1478368","217082","142970","196317","1628873","1086476","431395","0","81563","7011","0","0","0","70876","10015","19706","0","0","465910","595366","927359","0","198213","4470","2517174","58545","1977174","481455","243282","0","57581","3685377","37697"
"Illinois","2015","0","40821385","60959","17641282","10489152","7152130","1293272","283177","861954","1675695","3038032","15913816","4054267","1675694","1475367","9079684","4782066","2935738","0","714578","1045299","0","0","0","15941","5496","30354","0","0","34660","5199137","6760764","0","1707329","5342","21585700","211682","18366218","3007800","1222135","25124","387169","64212776","51443"
"Indiana","2015","0","17435854","8834","10639926","7279604","3360322","832006","46064","439264","245615","1797373","5232977","903572","255110","395435","5750086","3449162","3338425","0","133","1148","0","0","13583","47946","27452","4352","0","0","16123","2155774","5862136","0","1090456","7811","11525940","148427","10333714","1043799","539869","4384","215962","22571463","97478"
"Iowa","2015","0","9189255","1772","4268628","3040627","1228001","541813","22686","223069","6177","434256","3471617","463238","594080","389920","7048440","3236035","1414678","0","1613383","89","1534","0","0","93215","4487","10193","0","4134","94322","1934399","2998906","0","494199","3571","5748729","230623","5049194","468912","102990","1413","94306","6223008","48940"
"Kansas","2015","0","7884091","658758","3977806","3052986","924820","439045","132589","96303","371","256512","2262951","458306","226837","299433","4574186","3246506","1074109","0","1758030","107608","0","0","0","34042","882","5217","0","0","266618","1114657","2448624","0","276566","4669","3819834","59495","3225991","534348","66343","12054","99457","6821467","34717"
